==8340== NVPROF is profiling process 8340, command: ./test
==8340== Profiling application: ./test
==8340== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream          Src Dev   Src Ctx          Dst Dev   Dst Ctx        Unified Memory  Virtual Address  Name
5.56529s     992ns                    -               -         -         -         -      144B  138.44MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.56754s     736ns                    -               -         -         -         -      192B  248.78MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.58593s     768ns                    -               -         -         -         -      192B  238.42MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.58818s     768ns                    -               -         -         -         -      144B  178.81MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.59044s     768ns                    -               -         -         -         -      144B  178.81MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.59269s     992ns                    -               -         -         -         -      144B  138.44MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.59494s     768ns                    -               -         -         -         -      144B  178.81MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.59719s     736ns                    -               -         -         -         -      144B  186.59MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.59944s     768ns                    -               -         -         -         -      144B  178.81MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.60170s     737ns                    -               -         -         -         -      144B  186.34MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.60395s     768ns                    -               -         -         -         -      144B  178.81MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.60620s     736ns                    -               -         -         -         -      144B  186.59MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.60846s     768ns                    -               -         -         -         -      144B  178.81MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.61071s     864ns                    -               -         -         -         -      144B  158.95MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.61296s     736ns                    -               -         -         -         -      144B  186.59MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.61521s     736ns                    -               -         -         -         -      144B  186.59MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.61747s     736ns                    -               -         -         -         -      144B  186.59MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.61972s     768ns                    -               -         -         -         -      144B  178.81MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.62197s     768ns                    -               -         -         -         -      144B  178.81MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.62422s     769ns                    -               -         -         -         -      144B  178.58MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
